Conta: 26471
Titular: SIDERLEI SILVA
Data: 02/09/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOV26;02/09/2026 09:02:00;02/09/2026 09:06:00;4min;1;1;C;5.188,50;5.182,50;5.127,00;Não;-60,00;-6,00;1;-60,00;-6,00; - ;0,00;-60,00
WDOV26;02/09/2026 09:08:00;02/09/2026 09:08:00;-;1;1;V;5.187,00;5.181,00;5.127,00;Não;-60,00;-6,00;2;-60,00;-6,00;6min;0,00;-120,00
WDOV26;02/09/2026 09:14:00;02/09/2026 09:20:00;6min;1;1;C;5.188,50;5.182,50;5.127,00;Não;-60,00;-6,00;3;-60,00;-6,00;6min;0,00;-180,00
WDOV26;02/09/2026 09:46:00;02/09/2026 10:14:00;28min;1;1;C;5.193,00;5.199,00;5.127,00;Não;60,00;6,00;4;60,00;6,00;32min;0,00;-120,00
WDOV26;02/09/2026 10:16:00;02/09/2026 10:18:00;2min;1;1;C;5.200,00;5.194,00;5.127,00;Não;-60,00;-6,00;5;-60,00;-6,00;30min;0,00;-180,00
WDOV26;02/09/2026 10:24:00;02/09/2026 10:24:00;-;1;1;V;5.180,00;5.186,00;5.127,00;Sim;60,00;6,00;6;60,00;6,00;8min;0,00;-120,00
WDOV26;02/09/2026 10:26:00;02/09/2026 10:26:00;-;1;1;V;5.172,50;5.178,50;5.127,00;Não;60,00;6,00;7;60,00;6,00;2min;0,00;-60,00
WDOV26;02/09/2026 10:28:00;02/09/2026 10:30:00;2min;1;1;V;5.179,50;5.173,50;5.127,00;Não;-60,00;-6,00;8;-60,00;-6,00;2min;0,00;-120,00
WDOV26;02/09/2026 10:36:00;02/09/2026 10:38:00;2min;1;1;V;5.180,00;5.174,00;5.127,00;Sim;-60,00;-6,00;9;-60,00;-6,00;8min;0,00;-180,00
WDOV26;02/09/2026 10:44:00;02/09/2026 10:52:00;8min;1;1;V;5.162,50;5.168,50;5.127,00;Não;60,00;6,00;10;60,00;6,00;8min;0,00;-120,00
WDOV26;02/09/2026 10:54:00;02/09/2026 11:12:00;18min;1;1;V;5.156,00;5.162,00;5.127,00;Não;60,00;6,00;11;60,00;6,00;10min;0,00;-60,00
WDOV26;02/09/2026 11:18:00;02/09/2026 11:26:00;8min;1;1;V;5.146,00;5.152,00;5.127,00;Não;60,00;6,00;12;60,00;6,00;24min;0,00;0,00
WDOV26;02/09/2026 11:28:00;02/09/2026 11:32:00;4min;1;1;V;5.135,00;5.141,00;5.127,00;Não;60,00;6,00;13;60,00;6,00;10min;0,00;60,00
WDOV26;02/09/2026 12:04:00;02/09/2026 13:20:00;1h16min;1;1;V;5.131,00;5.137,00;5.127,00;Não;60,00;6,00;14;60,00;6,00;36min;0,00;120,00
WDOV26;02/09/2026 13:22:00;02/09/2026 14:10:00;48min;1;1;V;5.137,00;5.131,00;5.127,00;Não;-60,00;-6,00;15;-60,00;-6,00;1h18min;0,00;60,00
WDOV26;02/09/2026 14:24:00;02/09/2026 17:02:00;2h38min;1;1;V;5.142,00;5.138,00;5.127,00;Sim;-40,00;-4,00;16;-40,00;-4,00;1h2min;0,00;20,00
