Conta: 26471
Titular: SIDERLEI SILVA
Data: 31/08/2026

Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Médio;Res. Intervalo Bruto;Res. Intervalo (%);Número Operação;Res. Operação;Res. Operação (%);TET;Comissões;Total
WDOV26;31/08/2026 09:05:00;31/08/2026 09:05:00;-;1;1;V;5.212,00;5.206,00;5.218,50;Não;-60,00;-6,00;1;-60,00;-6,00; - ;0,00;-60,00
WDOV26;31/08/2026 09:15:00;31/08/2026 09:35:00;20min;1;1;V;5.207,50;5.201,50;5.218,50;Não;-60,00;-6,00;2;-60,00;-6,00;10min;0,00;-120,00
WDOV26;31/08/2026 09:40:00;31/08/2026 09:45:00;5min;1;1;C;5.209,00;5.215,00;5.218,50;Não;60,00;6,00;3;60,00;6,00;25min;0,00;-60,00
WDOV26;31/08/2026 10:00:00;31/08/2026 10:05:00;5min;1;1;C;5.214,50;5.208,50;5.218,50;Não;-60,00;-6,00;4;-60,00;-6,00;20min;0,00;-120,00
WDOV26;31/08/2026 10:30:00;31/08/2026 10:35:00;5min;1;1;V;5.196,50;5.202,50;5.218,50;Sim;60,00;6,00;5;60,00;6,00;30min;0,00;-60,00
WDOV26;31/08/2026 11:00:00;31/08/2026 11:30:00;30min;1;1;C;5.214,00;5.220,00;5.218,50;Sim;60,00;6,00;6;60,00;6,00;30min;0,00;0,00
WDOV26;31/08/2026 14:10:00;31/08/2026 15:35:00;1h25min;1;1;C;5.218,00;5.224,00;5.218,50;Não;60,00;6,00;7;60,00;6,00;3h10min;0,00;60,00
WDOV26;31/08/2026 15:40:00;31/08/2026 15:40:00;-;1;1;C;5.224,50;5.218,50;5.218,50;Não;-60,00;-6,00;8;-60,00;-6,00;1h30min;0,00;0,00
